25.257970397810386: 0: 3
25.25797039812099: 0: 3
25.25800149707297: 0: 3
25.258001497485957: 0: 3
25.25847600455085: 0: 32,28,29,39,22,25,27,35,41,30,33,37,31,38,34,23,26,36,24,40
25.259113218830365: 0: 32,28,29,39,22,25,27,35,41,30,33,37,31,38,34,23,26,36,24,40
25.25914382961492: 0: 32,28,29,39,22,25,27,35,44,41,30,33,37,31,38,34,23,26,36,24
25.259143830350123: 0: 32,28,29,39,22,25,27,35,44,41,30,33,37,31,38,34,23,26,36,24
25.259648791397414: 0: 36,31,33,22,23,35,29,30,37,41,26,32,38,39,27,25,34,28,40,24
25.259652274426383: 0: 36,31,33,22,23,35,29,30,43,37,41,26,32,38,39,27,25,34,28,40
25.259652274680743: 0: 36,31,33,22,23,35,29,30,43,37,41,26,32,38,39,27,25,34,28,40
25.25971216241647: 0: 36,31,33,22,23,45,35,29,30,43,37,41,26,32,38,39,27,25,34,28
25.259878722946922: 0: 36,31,33,22,23,45,35,29,30,43,37,41,26,47,32,38,39,27,25,34
25.259947716381248: 0: 36,31,33,49,22,23,45,35,29,30,43,37,41,26,47,32,38,39,27,25
25.26069628367189: 0: 51,36,31,33,49,22,23,45,35,29,30,43,37,41,26,47,32,38,39,27
25.260989120750875: 0: 53,51,36,31,33,49,22,23,45,35,29,30,43,37,41,26,47,32,38,39
25.261023258407832: 0: 53,51,36,31,33,49,22,23,45,35,29,30,43,37,41,26,47,32,38,39
25.2611026542475: 0: 53,51,36,31,33,49,22,23,45,35,29,30,43,37,41,26,47,32,38,57
25.2612752843381: 0: 53,51,36,31,59,33,49,22,23,45,35,29,30,43,37,41,26,47,32,38
25.26136533335941: 0: 53,51,36,61,31,59,33,49,22,23,45,35,29,30,43,37,41,26,47,32
25.26148909438538: 0: 63,53,51,36,61,31,59,33,49,22,23,45,35,29,30,43,37,41,26,47
25.26148909474345: 0: 63,53,51,36,61,31,59,33,49,22,23,45,35,29,30,43,37,41,26,47
25.261742460875006: 0: 63,53,51,65,36,61,31,59,33,49,22,23,45,35,29,30,43,37,41,26
25.262190501908478: 0: 27,25,40,26,33,22,31,30,24,23,34,39,29,41,28,36,37,35,38,32
25.262201536302793: 0: 27,25,40,26,33,22,31,30,24,23,34,39,43,29,41,28,36,37,35,38
25.26220153645099: 0: 27,25,40,26,33,22,31,30,24,23,34,39,43,29,41,28,36,37,35,38
25.262214535207487: 0: 27,25,40,26,33,22,31,30,24,23,34,45,39,43,29,41,28,36,37,35
25.262227378397025: 0: 27,25,40,26,33,22,47,31,30,24,23,34,45,39,43,29,41,28,36,37
25.262234534423847: 0: 27,25,40,26,33,22,47,31,30,24,23,34,45,39,43,29,41,28,36,37
25.262244002045374: 0: 27,25,40,26,51,33,22,47,31,30,24,23,34,45,39,43,29,41,28,36
25.262252477446953: 0: 27,53,25,40,26,51,33,22,47,31,30,24,23,34,45,39,43,29,41,28
25.262262534278214: 0: 27,53,25,40,26,51,33,22,47,31,30,24,23,34,45,39,43,29,41,28
25.26227213007681: 0: 27,53,25,40,26,51,33,22,47,31,57,30,24,23,34,45,39,43,29,41
25.262290619713603: 0: 27,53,25,40,26,51,33,22,47,31,57,30,24,23,34,45,39,43,59,29
25.262300091267907: 0: 27,53,25,40,26,51,61,33,22,47,31,57,30,24,23,34,45,39,43,59
25.26230744980781: 0: 27,53,25,40,63,26,51,61,33,22,47,31,57,30,24,23,34,45,39,43
25.26230744998441: 0: 27,53,25,40,63,26,51,61,33,22,47,31,57,30,24,23,34,45,39,43
25.262320682177698: 0: 27,53,25,40,63,26,65,51,61,33,22,47,31,57,30,24,23,34,45,39
25.26232773460114: 0: 27,53,25,40,63,26,65,51,61,33,22,47,31,67,57,30,24,23,34,45
25.262336333593527: 0: 27,53,25,69,40,63,26,65,51,61,33,22,47,31,67,57,30,24,23,34
25.26234873612708: 0: 27,53,25,69,40,63,71,26,65,51,61,33,22,47,31,67,57,30,24,23
25.262358696119577: 0: 27,53,25,69,40,63,71,26,65,51,61,33,22,47,31,67,57,30,24,23
25.26236725868824: 0: 27,53,25,69,75,40,63,71,26,65,51,61,33,22,47,31,67,57,30,24
25.2623738011119: 0: 27,53,25,69,75,40,63,71,26,65,77,51,61,33,22,47,31,67,57,30
25.26237935398525: 0: 27,53,25,69,75,40,63,79,71,26,65,77,51,61,33,22,47,31,67,57
25.262388159163116: 0: 27,53,25,69,75,40,81,63,79,71,26,65,77,51,61,33,22,47,31,67
25.26240182671489: 0: 27,53,25,83,69,75,40,81,63,79,71,26,65,77,51,61,33,22,47,31
25.262401826973626: 0: 27,53,25,83,69,75,40,81,63,79,71,26,65,77,51,61,33,22,47,31
25.26240963174509: 0: 27,53,25,83,69,75,40,81,63,79,71,26,65,77,51,61,33,22,47,31
25.262420393006277: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,65,77,51,61,33,22,47
25.26243034834151: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,65,77,51,61,33,22,47
25.262436813032267: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,65,77,51,61,33,22,47
25.2624369799101: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,93,77,51,61,33,22,47
25.262442800485715: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,93,77,51,61,33,95,22
25.262451207230587: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,93,77,51,61,33,95,22
25.26245979226285: 0: 27,53,25,83,69,75,87,40,81,63,79,71,26,93,77,51,61,33,95,22
25.26246709670048: 0: 27,53,25,83,69,75,87,40,81,63,79,101,71,26,93,77,51,61,33,95
25.262476841564034: 0: 27,103,53,25,83,69,75,87,40,81,63,79,101,71,26,93,77,51,61,33
25.262476841884524: 0: 27,103,53,25,83,69,75,87,40,81,63,79,101,71,26,93,77,51,61,33
25.262484973579806: 0: 27,103,53,25,83,69,75,87,40,81,63,79,101,71,26,93,77,51,61,105
25.262488522826864: 0: 27,103,53,25,83,107,69,75,87,40,81,63,79,101,71,26,93,77,51,61
25.262498439477714: 0: 27,103,53,25,83,107,69,75,87,40,81,63,79,101,71,26,93,77,51,61
25.26250900067474: 0: 27,103,53,111,25,83,107,69,75,87,40,81,63,79,101,71,26,93,77,51
25.262516087398414: 0: 27,103,53,111,25,83,113,107,69,75,87,40,81,63,79,101,71,26,93,77
25.26252644908095: 0: 115,27,103,53,111,25,83,113,107,69,75,87,40,81,63,79,101,71,26,93
25.26253638313766: 0: 115,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71,26
25.262542701487913: 0: 115,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71,26
25.262550176100277: 0: 115,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71,26
25.2625575807615: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71
25.262557581102268: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71
25.262565572265352: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71
25.262574303803905: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,79,101,71
25.26257994453583: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,129,79,101
25.262582754680043: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,129,79,101
25.262591766696993: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,129,79,101
25.262598072225487: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,129,79,101
25.2625981451161: 0: 115,123,27,103,53,111,25,83,113,107,69,117,75,87,40,81,63,129,79,101
25.262609519179247: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.262615378462904: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.262615380881563: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.26297415391043: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.262976035405664: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.26297667515083: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.26297705694954: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.262977617680846: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.26297844290839: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
25.2629945271033: 0: 115,123,27,103,53,111,25,83,113,139,107,69,117,75,87,40,81,63,129,79
